prompt,answer
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème de clavier Dell XPS 13
Body: Cher service client,

J'espère que vous allez bien. J'ai récemment acheté un Dell XPS 13 9310 dans votre magasin, mais je rencontre des problèmes avec son clavier. Il ne répond pas et je pense qu'il doit être remplacé. Pourriez-vous m'aider dans le processus de résolution de ce problème ? Mon numéro de compte est <acc_num>. Merci d'avance pour votre coopération.

Cordialement,
<name>
<tel_num>
Language: fr
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Sound Issue Dell XPS
Body: Issue with sound, handling as return. Within 30 days.
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Router Troubleshooting Needed ASAP
Body: Dear Tech Online Store Customer Support, 

My Cisco Router ISR4331 is not powering on despite being properly plugged in. I need help with troubleshooting this issue as soon as possible. Please advise on the next steps to resolve this matter. My account number is <acc_num>. You can reach me at <tel_num> if further details are required.

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent Assistance Needed
Body: Dear Customer Support,

Our Cisco Router ISR4331 is experiencing frequent connectivity drops, severely impacting our business operations. This requires urgent troubleshooting and repair. Please assist at the earliest convenience.

Thank you,
<name>
<company>
<tel_num>
Language: en
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Änderung der Workflows
Body: Sehr geehrtes Support-Team, wir stellen auf eine neue Projektmanagement-Methode um und müssen unsere Workflows in Jira Software 8.20 neu anordnen. Bitte helfen Sie uns so schnell wie möglich. Danke, <name> <acc_num>
Language: de
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Corrupção de Banco de Dados no MySQL 8.0.30
Body: Caro Time de Suporte,

Encontramos corrupção de banco de dados com o MySQL 8.0.30, resultando em interrupções no serviço e afetando significativamente nossas operações comerciais. Assistência imediata é necessária para resolver este problema.

Por favor, priorizem este assunto.

Atenciosamente,
<name>
Language: pt
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia de alta prioridad requerida para problemas con Visual Studio Code
Body: Estimado servicio de atención al cliente, estoy enfrentando problemas de depuración en aplicaciones que utilizan Visual Studio Code 1.70 en dispositivos gestionados por Recursos Humanos. Se requiere ayuda inmediata. Saludos, <name>
Language: es
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Assistência Imediata Necessária para Falha na Aplicação de Folha de Pagamento
Body: Caro Suporte ao Cliente da Firma de Consultoria de TI, Nosso RH relata que nossa aplicação de folha de pagamento primária falhou durante o processamento. Precisamos urgentemente da sua assistência para restaurar sua operação. O serviço afetado é o Serviço de Consultoria de TI fornecido pela sua empresa. Por favor, entre em contato conosco o mais rápido possível. Para mais informações, entre em contato com <name> pelo <tel_num>.
Language: pt
Business type: IT Consulting Firm

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Assistance Needed for Chrome Crashes
Body: Dear Tech Online Store Customer Support, I am writing to inform you that I am experiencing consistent crashes with Google Chrome 102.0 on my Windows 11 laptop. The browser crashes frequently during use, severely impacting my workflow. Could you please investigate and provide proper assistance? Any help in resolving this issue would be greatly appreciated. If you need any additional information, please let me know. Thank you for your support. Best regards, <name>
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problem mit Dell XPS 13 9310 Überhitzung
Body: Der Dell XPS 13 9310 überhitzt bei normaler Nutzung. Ich bitte um Anleitung und eine schnelle Lösung.
Language: de
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema com Monitoramento na Nuvem
Body: Caro Suporte, nosso cliente está enfrentando problemas com o monitoramento de recursos na nuvem no AWS Management Service. Por favor, nos ajude a resolver isso rapidamente. Atenciosamente, <name>, <company>. Contato: <tel_num>.
Language: pt
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Problema de parpadeo de pantalla con Dell XPS 13 9310
Body: Estimado Servicio al Cliente,

Estoy experimentando un problema con mi Dell XPS 13 9310, donde la pantalla parpadea continuamente. Este problema está afectando gravemente mi trabajo y necesito una resolución inmediata.

Por favor, aconsejenme sobre cómo se puede resolver este problema lo antes posible. Mi número de cuenta es <acc_num>.

Gracias,
<name>
Language: es
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problem mit Bildschirmflimmern
Body: Sehr geehrter Kundenservice, ich habe Probleme mit Bildschirmflimmern bei meinem LG OLED C1, insbesondere bei HDR-Inhalten. Dies beeinträchtigt die Bildqualität erheblich. Könnten Sie mir bei der Fehlerbehebung helfen oder mögliche Lösungen anbieten? Vielen Dank für Ihre schnelle Aufmerksamkeit. Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Sales and Pre-Sales
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema con Jira Software 8.20
Body: Estimado Servicio de Atención al Cliente,

No puedo crear nuevos tickets en Jira Software 8.20 después de la actualización reciente. ¿Podrían investigar esto con urgencia?

Atentamente,
<name>
Language: es
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Kritischer Ausfall, der AWS betrifft
Body: Sehr geehrter Kundenservice,

ich schreibe, um einen kritischen Ausfall des AWS-Management-Dienstes zu melden. Unsere Kunden können derzeit nicht auf ihre bereitgestellte Cloud-Infrastruktur über diesen Dienst zugreifen. Dieses Problem erfordert sofortige Aufmerksamkeit, da es unsere Abläufe erheblich beeinträchtigt. Bitte untersuchen Sie das und lösen Sie es so schnell wie möglich.

Vielen Dank,

<name>
Kontonummer: <acc_num>
Telefon: <tel_num>
Language: de
Business type: IT Services

Answer:",Service Outages and Maintenance
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème de connectivité Wi-Fi de l'imprimante HP DeskJet 3755
Body: Cher service client,

Je rencontre un problème avec mon imprimante sans fil HP DeskJet 3755. Elle ne se connecte pas au réseau Wi-Fi malgré le suivi des instructions de configuration. Pourriez-vous s'il vous plaît fournir des étapes de dépannage pour résoudre ce problème ? L'assistance pour la faire fonctionner est grandement appréciée. Merci d'avance pour votre aide.

Cordialement,
<name>
<tel_num>
Language: fr
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Troca solicitada para laptop com defeito
Body: Caro Suporte ao Cliente,

Espero que esta mensagem o encontre bem. Estou escrevendo para solicitar uma troca do meu laptop Dell XPS 13 9310 devido a uma falha após duas semanas de uso. Sua assistência rápida na resolução deste problema seria muito apreciada.

Atenciosamente,
<name>
Language: pt
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Hilfe bei dem Problem mit dem Flackern des Bildschirms benötigt
Body: Sehr geehrter IT-Services-Support,

ich habe ein unerklärliches Problem mit dem Flackern des Bildschirms auf meinem Dell XPS 13 9310. Könnten Sie mir bitte bei der Fehlersuche zu diesem Problem helfen? Ihre Unterstützung bei der Lösung dieses Problems wäre sehr hilfreich.

Vielen Dank, <name>
Language: de
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request for assistance with Wi-Fi connectivity issue
Body: Dear Tech Online Store customer support, 

I am experiencing Wi-Fi connectivity issues with my Dell XPS 13 9310 Ultrabook. Could you please assist me in resolving this as soon as possible?

Thank you.

Sincerely, 
<name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Photoshop 2024 Issue
Body: Hi <name>, I am experiencing an issue with the eraser tool in Adobe Photoshop 2024. It often fails to work properly, impacting my daily tasks. Please assist with troubleshooting this problem. Thank you, <name>.
Language: en
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Discrepancia de facturación en el servicio de gestión de AWS
Body: Estimado Servicio de Atención al Cliente,

Estoy escribiendo para informar una discrepancia en la facturación de mi cuenta del servicio de gestión de AWS y alegar cargos incorrectos. Por favor, verifique las transacciones de facturación para la cuenta <acc_num>, y procese un reembolso si corresponde. Su pronta atención a este asunto sería apreciada.

Gracias.

Atentamente,
<name>
Language: es
Business type: IT Services

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgente: Tiempo de inactividad del servidor
Body: Estimado equipo de soporte al cliente,

Estoy experimentando un problema de tiempo de inactividad del servidor con su servicio de gestión de AWS. Mi número de cuenta es <acc_num>. Por favor, aconsejen sobre los pasos de solución de problemas y un cronograma estimado para la resolución. Esto es crítico para nuestras operaciones comerciales.

Gracias,
<name>
Contacto: <tel_num>
Language: es
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de parpadeo de pantalla
Body: Estimado soporte al cliente, estoy experimentando parpadeo de pantalla en mi LG OLED C1, afectando particularmente al contenido HDR. Esto impacta severamente la calidad de visualización. ¿Podrían ayudarme con la solución de problemas o proporcionar soluciones potenciales? Gracias por su pronta atención. Sinceramente, <name>
Language: es
Business type: Tech Online Store

Answer:",Sales and Pre-Sales
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: MacBook Air Batterieproblem
Body: Sehr geehrter Kundenservice, ich habe ein Problem mit der Batterie meines MacBook Air M1. Sie lädt nicht über 50 %, selbst nachdem ich es über Nacht eingesteckt gelassen habe. Bitte helfen Sie mir, dieses Problem umgehend zu lösen. Meine Kontonummer ist <acc_num>. Vielen Dank.
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Actualización de firmware requerida
Body: Estimado soporte al cliente,

Le escribo para informarle sobre la necesidad de una actualización de firmware en nuestro router Cisco ISR4331 para resolver vulnerabilidades de seguridad. Asegurar una entrega de red segura y de alto rendimiento es crucial para nosotros. ¿Podrían proporcionar asistencia en este asunto?

Gracias,
<name>
<tel_num>
<acc_num>

Language: es
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringend: Bildschirmflimmern bei Dell XPS 13 9310
Body: Sehr geehrter Kundenservice,

ich habe ein Problem mit meinem Dell XPS 13 9310, bei dem der Bildschirm kontinuierlich flimmert. Dieses Problem beeinträchtigt meine Arbeit erheblich, und ich benötige eine sofortige Lösung.

Bitte teilen Sie mir mit, wie dieses Problem so schnell wie möglich behoben werden kann. Meine Kontonummer ist <acc_num>.

Danke,
<name>
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Immediate Help Needed: Problem with Netgear Switch GS108
Body: Hello Tech Online Store Support Team,

I am encountering an issue with the Netgear Switch GS108 that I acquired recently. After initial usage, the device has stopped responding and won't power on. This switch is crucial for my home network, so I would highly appreciate your prompt assistance. Please direct me on how to address this problem or initiate a return procedure.

Thank you for your support.

Kind regards,
<name>
Language: en
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Erweiterungen laden nicht
Body: Sehr geehrtes <name> Support-Team, ich habe Probleme mit Erweiterungen, die in Visual Studio Code 1.70 einen Tag nach einem Update nicht geladen werden. Ich würde Ihre Unterstützung bei der Lösung dieses Problems zu schätzen wissen. Vielen Dank für Ihre Unterstützung, <name>
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problèmes après la mise à jour : base de données MySQL 8.0.30
Body: Cher Support Client, 

Je rencontre des problèmes avec la base de données MySQL 8.0.30 après une récente mise à jour. Plus précisément, je ne peux pas établir de connexions sécurisées à la base de données. Ce problème a commencé immédiatement après la mise à jour. J'ai déjà tenté plusieurs étapes de dépannage, mais sans succès. Votre aide urgente pour résoudre ce problème serait grandement appréciée car cela impacte nos opérations. Veuillez conseiller sur les prochaines étapes. 

Merci, 
<Name> 
<Numéro de Compte : <acc_num>> 
<Téléphone : <tel_num>
Language: fr
Business type: IT Consulting Firm

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia necesaria para el proyecto
Body: Estimado equipo de soporte, necesito ayuda para configurar diagramas de realización para nuestra consolidación del directorio de proyectos planeados. Utilizando el Servicio de Consultoría de TI para esta tarea. Gracias. Sinceramente, <name>.
Language: es
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Syntaxhervorhebung Problem
Body: Liebes Support-Team, ich habe ein Problem mit der Syntaxhervorhebung für Python-Dateien nach dem letzten Update von Visual Studio Code 1.70. Könnten Sie bitte Unterstützung bei der Fehlersuche zu diesem Problem leisten? Vielen Dank für Ihre Hilfe. Mit freundlichen Grüßen, <name>
Language: de
Business type: Software Development Company

Answer:",General Inquiry
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: System Crash Issue
Body: Dear IT Services Support,

I'm writing to urgently report a critical issue with our Jira Software 8.20. Our system crashes consistently when accessing the ticket list, thereby impacting our team’s ability to manage tickets and causing significant delays in our workflow. We need an immediate resolution to this problem to prevent further disruption.

Thank you for your prompt attention to this matter.

Best regards,
<name>
<email>, <tel_num>, <acc_num>
Language: en
Business type: IT Services

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Demande de modification des comptes de facturation AWS
Body: Cher équipe de support des services informatiques,

Je souhaite demander un ajustement de nos comptes de facturation AWS pour les services d'infrastructure cloud gérés sous le Service de gestion AWS. Il est essentiel de revoir et de corriger toute divergence. Veuillez donner la priorité à cette demande de priorité moyenne dès que possible.

Merci d'avance pour votre assistance.

Cordialement,
<name>
<acc_num>
Language: fr
Business type: IT Services

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitação de Upgrade para Surface Pro 7
Body: Caro time de Serviços de TI,

Estou escrevendo para solicitar um upgrade para a versão mais recente e estável do software Windows para meu Microsoft Surface Pro 7. Acredito que esse upgrade irá melhorar seu desempenho e me fornecer novos recursos. Por favor, me informe os passos ou requisitos necessários para prosseguir.

Obrigado,
<name>
<email>
Language: pt
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject:  
Body: Hello, I am creating a ticket to initiate a 'Change' request for updating Visual Studio Code from version 1.70 to the latest version accessible. The priority level is considered low.
Language: en
Business type: Software Development Company

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Interrupción Crítica Afectando AWS
Body: Estimado Servicio de Atención al Cliente,

Escribo para reportar una interrupción crítica que afecta el Servicio de Gestión de AWS. Nuestros clientes actualmente no pueden acceder a su infraestructura en la nube desplegada a través de este servicio. Este problema requiere atención inmediata ya que impacta significativamente nuestras operaciones. Por favor, investiguen y resuelvan esto lo antes posible.

Gracias,

<name>
Número de Cuenta: <acc_num>
Teléfono: <tel_num>
Language: es
Business type: IT Services

Answer:",Service Outages and Maintenance
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issue with Surface Pro 7 Touchscreen
Body: Dear customer support, I'm experiencing sensitivity issues with my Microsoft Surface Pro 7's touchscreen, making the device difficult to use properly. Can you assist me with a solution? Thank you, <name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Immediate assistance required for Cisco Router ISR4331 reboot loop issue impacting network connectivity
Body: Continuous connectivity losses observed on Cisco Router ISR4331 post constant reboot loop. Urgent troubleshooting needed.
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Unmittelbare Unterstützung benötigt für Jira Software Zugangsproblem
Body: Sehr geehrter Kundenservice, Benutzer können nach dem letzten Update nicht auf die Projektmanagementfunktionen in Jira Software zugreifen. Wir benötigen dringend Ihre Unterstützung, um dieses Problem zu lösen. Wir verwenden die Jira Software Version 8.20. Bitte behandeln Sie dieses Anliegen so schnell wie möglich, um Unterbrechungen zu minimieren. Vielen Dank, <name>
Language: de
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Immediate Hardware Diagnostics for Dell XPS 13 9310
Body: Hello, I am experiencing screen flickering on my Dell XPS 13 9310. Could you please arrange immediate hardware diagnostics and repair for this issue? My account number is <acc_num>. Thank you for your prompt assistance. Sincerely, <name>
Language: en
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problemas con la pantalla táctil del Surface Pro 7
Body: Estimado soporte al cliente, estoy experimentando congelamientos intermitentes de la pantalla táctil en mi Microsoft Surface Pro 7. Este problema está afectando la usabilidad del dispositivo. ¿Podría ayudarme a resolver este asunto? Gracias de antemano. Saludos, <name>
Language: es
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problème de surchauffe avec le Dell XPS 13 9310
Body: Le Dell XPS 13 9310 surchauffe lors d'une utilisation normale. Je recherche des conseils et une résolution rapide, s'il vous plaît.
Language: fr
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Loading Slowness Issue in Jira Software
Body: Dear Customer Support,

I am experiencing significant slowness when loading project management boards in Jira Software 8.20. This issue became noticeable right after the recent weekly uptime check updates. Could you please investigate and resolve this matter at your earliest convenience? Your prompt assistance would be greatly appreciated.

Thank you,

<name>
Account Number: <acc_num>
Phone: <tel_num>
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Frequent Disconnections and Crashes
Body: Customer reports frequent disconnections and crashes during video meetings using Zoom 5.11.0. Please investigate. Thank you.
Language: en
Business type: Software Development Company

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Hilfe benötigt bei der Installation von Windows 10-Updates
Body: Hallo Tech Online Store Support Team, ich habe Probleme bei dem Versuch, Windows 10-Updates auf meinem Microsoft Surface Pro 7 zu installieren. Der Installationsprozess schlägt jedes Mal fehl, und ich habe mehrere Methoden ausprobiert, um das Problem zu lösen, ohne Erfolg. Könnten Sie bitte Unterstützung bieten, um dieses Problem zu lösen? Meine Kontonummer ist <acc_num>. Sie können mich unter <tel_num> für weitere Details kontaktieren. Vielen Dank für Ihre Unterstützung. Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Assistance urgente requise pour les problèmes de Visual Studio Code
Body: Cher service client, je rencontre des problèmes de débogage dans des applications utilisant Visual Studio Code 1.70 sur des appareils gérés par les RH. Une aide immédiate est requise. Cordialement, <name>
Language: fr
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Häufige Abstürze bei Dell XPS 13 9310
Body: Sehr geehrter technischer Support des Online-Shops,

ich habe regelmäßige Abstürze bei meinem Dell XPS 13 9310, während ich anspruchsvolle Anwendungen benutze. Dieses Problem beeinträchtigt meine Effizienz erheblich. Ich habe eine erste Fehlersuche durchgeführt, doch das Problem bleibt ungelöst. Bitte leiten Sie mich hinsichtlich der nächsten Schritte zur Behebung dieses Problems an oder lassen Sie mich wissen, ob ein Austausch erforderlich ist.

Vielen Dank,
<name>
Language: de
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema com a Bateria do MacBook Air
Body: Caro Suporte ao Cliente, estou enfrentando um problema com a bateria do meu MacBook Air M1. Ele não carrega acima de 50%, mesmo após deixá-lo conectado durante a noite. Por favor, ajudem-me a resolver este problema rapidamente. Meu número de conta é <acc_num>. Obrigado.
Language: pt
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Touchscreen Sensitivity Issues on Surface Pro 7
Body: Dear Tech Online Store Customer Support,

I am experiencing touchscreen sensitivity issues on my Microsoft Surface Pro 7, particularly while using the device with the detached keyboard. I've attempted basic troubleshooting without success. Can you please assist me in resolving this issue? My account number is <acc_num>. You can reach me at <tel_num> or reply to this email.

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Issue with Cloud Monitoring
Body: Dear Support, our client is experiencing issues with cloud resource monitoring in AWS Management Service. Please assist us in resolving this promptly. Best, <name>, <company>. Contact: <tel_num>.
Language: en
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request to Exchange HP DeskJet 3755 Printer
Body: Dear Tech Online Store Support, I'd like to request an exchange for my HP DeskJet 3755 printer. It frequently jams and the print quality is inconsistent. Please guide me on the next steps for exchanging this product. Thank you, <name>.
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dienstunterbrechung Problem
Body: Liebes Support-Team, ich erlebe eine Dienstunterbrechung, die meinen Zugriff auf Microsoft Office 365, insbesondere Excel und den E-Mail-Client, beeinträchtigt. Dies verursacht erhebliche Störungen in meiner Arbeit. Bitte beheben Sie dieses Problem umgehend. Mit freundlichen Grüßen, <name>
Language: de
Business type: Tech Online Store

Answer:",Service Outages and Maintenance
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Zoom Call Issues
Body: Dear Customer Support,

Our HR team has been experiencing frequent call drops and poor video quality during meetings using Zoom 5.11.0. This significantly affects our productivity. Kindly assist us with resolving these issues as soon as possible.

Best regards,
<name>
<position>
<phone number>
<company>
Language: en
Business type: IT Services

Answer:",Human Resources
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Screen Flickering Issue with New Dell Laptop
Body: Dear Tech Online Store Customer Support, 

I hope this email finds you well. I am writing to report an issue with my new Dell XPS 13 9310 laptop. The screen flickers frequently, which is problematic and disrupts my work. The laptop was purchased very recently, and I was not expecting to encounter such issues with a new product.

Could you please assist me in resolving this matter at your earliest convenience? I would appreciate troubleshooting steps or guidance on whether this issue qualifies for a replacement or repair. My order number is <order_num> and the laptop's serial number is <serial_num>. 

Thank you for your attention to this matter. I look forward to your prompt response.

Sincerely, 
<name>
Language: en
Business type: Tech Online Store

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Help Needed for Surface Pro 7 Setup
Body: Hi Tech Online Store Support,

Could you assist me in setting up the detachable keyboard and configuring the touchscreen features on my Microsoft Surface Pro 7? I am having trouble with both functionalities. Thank you for your assistance.

Best regards,
<name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Firmware Update Required
Body: Dear Customer Support,

I am writing to inform you about the need for a firmware update on our Cisco Router ISR4331 to resolve security vulnerabilities. Ensuring seamless high-performance and secure networking delivery is crucial for us. Could you please provide assistance on this matter?

Thank you,
<name>
<tel_num>
<acc_num>

Language: en
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent : Temps d'arrêt du serveur
Body: Cher équipe de support client,

Je rencontre un problème de temps d'arrêt du serveur avec votre service de gestion AWS. Mon numéro de compte est <acc_num>. Veuillez conseiller sur les étapes de dépannage et un délai estimé pour la résolution. Cela est critique pour nos opérations commerciales.

Merci,
<name>
Contact : <tel_num>
Language: fr
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema de superaquecimento com o Dell XPS 13 9310 após uso
Body: Caro time de suporte, recentemente comprei um Dell XPS 13 9310 e estou enfrentando problemas de superaquecimento após aproximadamente uma hora de uso. Por favor, ajudem a resolver este problema. Aguardando sua rápida resposta. Atenciosamente, <name>.
Language: pt
Business type: Tech Online Store

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Photoshop 2024 Problem
Body: Hallo <name>, ich habe ein Problem mit dem Radiergummi-Werkzeug in Adobe Photoshop 2024. Es funktioniert oft nicht richtig, was meine täglichen Aufgaben beeinträchtigt. Bitte helfen Sie mir bei der Fehlersuche zu diesem Problem. Vielen Dank, <name>.
Language: de
Business type: IT Services

Answer:",Customer Service
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Solicitud para actualizar la integración de facturación y optimizar el flujo de trabajo
Body: Estimado equipo de soporte de servicios de TI,

Me estoy comunicando con respecto a mi solicitud reciente para actualizar la integración de facturación dentro de la administración del servidor y optimizar nuestro flujo de trabajo de soluciones de TI. Actualmente estamos utilizando su servicio de consultoría de TI.

Gracias.

Atentamente,
<name>
Número de cuenta: <acc_num>
Language: es
Business type: IT Services

Answer:",Billing and Payments
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request to Return Defective MacBook Air
Body: Hello, I purchased a MacBook Air M1 from your store and found a defect in the machine's touchpad. Please assist me with the return process. My order number is <acc_num>. Thank you, <name>, <tel_num>.
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Return Request: Defective Samsung QN90A HDR Feature
Body: Dear Tech Online Store Support,

I am writing to request a return for my Samsung QLED QN90A due to a defective HDR feature. The issue was discovered within the return window. Please advise on the next steps for processing this return.

Thank you,
<name>
<acc_num>
<tel_num>
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Frequent Crashes on macOS with Adobe Photoshop 2024
Body: Hello Customer Support, I am experiencing frequent crashes on macOS when attempting to apply layer effects in Adobe Photoshop 2024. This issue is severely hindering my design work. Could you please provide assistance to resolve this matter promptly? Thank you, <name>. Contact: <tel_num>.
Language: en
Business type: IT Services

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problemas críticos de desempenho com o Dell XPS 13 9310
Body: Caro Suporte ao Cliente, meu laptop Dell XPS 13 9310 está enfrentando problemas críticos de desempenho e falhas frequentes, apesar de ter memória e armazenamento suficientes. Por favor, me ajudem a resolver esse problema o mais rápido possível. Obrigado, <name>.
Language: pt
Business type: Tech Online Store

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringend: Problem mit langen Startzeiten beim MacBook Air M1
Body: Sehr geehrter Kundenservice,

ich habe letzte Woche ein MacBook Air M1 in Ihrem Geschäft gekauft. Leider habe ich sehr lange Startzeiten mit dem Gerät.

Bitte helfen Sie mir, dieses Problem zu lösen. Meine Bestellnummer ist <order_num>.

Danke,
<name>
Language: de
Business type: Tech Online Store

Answer:",Customer Service
